timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695575186928,670,Login,200,OK,Thread Group 1-2,text,true,,593,315,3,3,https://dmoney.roadtocareer.net/user/login,662,0,585
1695575186770,827,Login,200,OK,Thread Group 1-1,text,true,,593,315,3,3,https://dmoney.roadtocareer.net/user/login,819,0,744
1695575187668,67,Create new user,201,Created,Thread Group 1-1,text,true,,637,643,3,3,https://dmoney.roadtocareer.net/user/create,67,0,0
1695575187668,67,Create new user,201,Created,Thread Group 1-2,text,true,,637,643,3,3,https://dmoney.roadtocareer.net/user/create,67,0,0
1695575187736,91,Search User,200,OK,Thread Group 1-1,text,true,,637,424,3,3,https://dmoney.roadtocareer.net/user/search/id/28428,91,0,0
1695575187736,90,Search User,200,OK,Thread Group 1-2,text,true,,637,424,3,3,https://dmoney.roadtocareer.net/user/search/id/28427,90,0,0
1695575187833,63,Delete User,200,OK,Thread Group 1-2,text,true,,375,443,3,3,https://dmoney.roadtocareer.net/user/delete/28427,63,0,0
1695575187833,63,Delete User,200,OK,Thread Group 1-1,text,true,,375,443,3,3,https://dmoney.roadtocareer.net/user/delete/28428,63,0,0
1695575187253,1181,Login,200,OK,Thread Group 1-3,text,true,,593,315,1,1,https://dmoney.roadtocareer.net/user/login,1181,0,1127
1695575188435,66,Create new user,201,Created,Thread Group 1-3,text,true,,637,643,1,1,https://dmoney.roadtocareer.net/user/create,66,0,0
1695575188502,78,Search User,200,OK,Thread Group 1-3,text,true,,637,424,1,1,https://dmoney.roadtocareer.net/user/search/id/28429,78,0,0
1695575188581,45,Delete User,200,OK,Thread Group 1-3,text,true,,375,443,1,1,https://dmoney.roadtocareer.net/user/delete/28429,45,0,0
